orgid,orgname,avg_td,med_td,avg_tt,med_tt
4694,"New Dance Alliance, Inc.",0.50,0.50,8.00,8.00
4757,"Dance Notation Bureau, Inc.",2.55,1.30,17.33,12.00
4781,"H.T. Dance Company, Inc./Chen Dance Center",5.02,3.79,30.44,25.00
4834,"Trisha Brown Company, Inc.",13.17,13.17,66.00,66.00
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",4.23,3.17,22.82,14.00
4901,Opus Dance Theatre & Community Services Inc.,1.68,1.68,25.00,25.00
4941,Battery Dance Corporation,3.17,3.17,22.00,22.00
4945,"Ice Theatre of New York, Inc.",4.98,4.78,24.60,29.00
4960,Paul Taylor Dance Foundation,4.83,3.36,32.30,31.50
4979,"Dancewave, Inc.",3.27,2.52,19.80,17.00
4988,"Alvin Ailey Dance Foundation, Inc.",4.14,3.85,25.14,24.00
5002,"Spanish Dance Arts Company, Inc.",0.81,0.81,14.00,14.00
5048,"Lotus Fine Art Productions, Inc.",7.52,8.24,38.25,43.50
5115,"Spoke the Hub Dancing, Inc.",1.30,1.30,17.00,17.00
5131,Dancing in the Streets,7.29,5.50,40.50,32.00
5155,"DOVA, Inc.",4.30,4.60,24.60,27.00
5291,Sachiyo Ito and Company,2.73,2.73,20.00,20.00
5372,"Art Sweats, Inc.",5.81,5.81,36.00,36.00
5687,"Joyce Theater Foundation, Inc.",4.49,4.48,34.75,33.50
5689,"Young Dancers in Repertory, Inc.",2.98,2.98,16.00,16.00
5782,"Lubovitch Dance Foundation, Inc.",6.74,7.18,32.70,30.00
5873,"The Dance Ring, Inc.",4.23,4.23,25.00,25.00
5878,Renegade Performance Group,0.75,0.75,9.00,9.00
5983,"Gina Gibney Dance, Inc.",6.07,5.84,31.63,29.00
6044,"Groove With Me, Inc.",9.69,9.69,54.50,54.50
6159,Ballet Hispanico of New York,7.08,7.09,38.00,38.00
6648,Martha Graham Center of Contemporary Dance,6.83,6.46,38.00,37.00
6673,Appleby Foundation Inc.,0.19,0.19,4.00,4.00
6675,BAAD! Bronx Academy of Arts & Dance/Arthur Aviles Typical Theatre,8.53,7.77,52.00,66.00
6681,"K.S. J.A.M.M. Dance Troupe, Inc.",2.11,2.11,18.00,18.00
6707,Calpulli Mexican Dance Co.,7.92,5.72,41.75,43.00
6785,"DanceWorks, Inc./Pentacle",7.86,7.86,42.50,42.50
6791,"Triskelion Arts/Kick StanDance, Inc.",4.15,4.60,29.18,32.00
6798,"School of American Ballet, Inc.",5.28,5.28,40.00,40.00
6819,"Thin Man Dance, Inc.",7.83,7.83,29.00,29.00
